"","Date_reported","Country_code","Country","WHO_region","New_cases","Cumulative_cases","New_deaths","Cumulative_deaths","stay_home_requirements","New_infectious","lag_infectious","stay_home_diff_07","stay_home_diff_05","stay_home_diff_03","lag_stay_home","lag_stay_home_diff_07","lag_stay_home_diff_05","lag_stay_home_diff_03","lag_stay_home_diff_01","New_infec_07ma","lag_infec_07ma","New_infec_05ma","lag_infec_05ma","New_infec_03ma","lag_infec_03ma","delta_infectious","delta_infec_07ma","delta_infec_05ma","delta_infec_03ma"
"202",2020-10-19,"PL","Poland","Europe",8536,175766,49,3573,"0",4358,49950,"0","0","0","0","0","0","0","0",3755.71428571429,49455.7142857143,3791.4,49422.2,3922.66666666667,49526.6666666667,8.72472472472472,7.59409572777954,7.67145129112019,7.9203122896756
"203",2020-10-20,"PL","Poland","Europe",7482,183248,41,3614,"0",3088,53038,"0","0","0","0","0","0","0","0",3782.71428571429,53238.4285714286,3901,53323.2,3889.66666666667,53416.3333333333,5.82224065764169,7.10523279371238,7.31576499534912,7.28179271009491
"204",2020-10-21,"PL","Poland","Europe",9291,192539,107,3721,"0",4223,57261,"0","0","0","0","0","0","0","0",4205.71428571429,57444.1428571429,3838.2,57161.4,3608.33333333333,57024.6666666667,7.37500218298667,7.32139792941715,6.71467108923154,6.32767106632218
"205",2020-10-22,"PL","Poland","Europe",10040,202579,130,3851,"0",3514,60775,"0","0","0","0","0","0","0","0",4160.57142857143,61604.7142857143,4152,61313.4,3915,60939.6666666667,5.78198272315919,6.75365753548546,6.77176604135474,6.42438696196785
"206",2020-10-23,"PL","Poland","Europe",12107,214686,168,4019,"0",4008,64783,"0","0","0","0","0","0","0","0",3996,65600.7142857143,4335.6,65649,4483,65422.6666666667,6.18680826760107,6.09139708844634,6.60421331627291,6.85236513338904
"207",2020-10-24,"PL","Poland","Europe",13632,228318,153,4172,"1",5927,70710,"1","1","1","0","0","0","0","0",3949,69549.7142857143,4132.2,69781.2,4647,70069.6666666667,8.38212416914156,5.67795287235441,5.92165225017627,6.63197103834755
"208",2020-10-25,"PL","Poland","Europe",13628,241946,179,4351,"1",4006,74716,"1","1","1","0","0","0","0","0",4347,73896.7142857143,3981.2,73762.4,4379.66666666667,74449.3333333333,5.36163606188768,5.88253488943061,5.39732980488704,5.8827479986389
"209",2020-10-26,"PL","Poland","Europe",11742,253688,87,4438,"1",3206,77922,"1","1","1","0","0","0","0","0",5099.28571428571,78996,4581.4,78343.8,3323.66666666667,77773,4.11437078103745,6.45511888486216,5.8478143771428,4.27354823224855
"210",2020-10-27,"PL","Poland","Europe",10241,263929,45,4483,"1",2759,80681,"1","1","0","0","0","0","0","0",5676.57142857143,84672.5714285714,5152,83495.8,4324.66666666667,82097.6666666667,3.41964031184542,6.70414436788435,6.17037024616807,5.26770959791793
"211",2020-10-28,"PL","Poland","Europe",16300,280229,132,4615,"1",7009,87690,"1","1","0","0","0","0","0","0",5972.28571428571,90644.8571428571,5960.6,89456.4,6182.66666666667,88280.3333333333,7.99292963849926,6.58866471031372,6.66313421957512,7.00344735142973
"212",2020-10-29,"PL","Poland","Europe",18820,299049,236,4851,"1",8780,96470,"1","0","0","0","0","0","0","0",6581.28571428571,97226.1428571429,6918.8,96375.2,7946,96226.3333333333,9.10127500777444,6.76904947669865,7.1790253094157,8.25761485941132
"213",2020-10-30,"PL","Poland","Europe",20156,319205,298,5149,"1",8049,104519,"1","0","0","0","0","0","0","0",6898.85714285714,104125,8020.8,104396,8275.33333333333,104501.666666667,7.70099216410413,6.62555307837421,7.68305299053604,7.91885296885217
"214",2020-10-31,"PL","Poland","Europe",21629,340834,202,5351,"1",7997,112516,"0","0","0","0","0","0","0","0",7267.14285714286,111392.142857143,7704.8,112100.8,8105,112606.666666667,7.10743360944221,6.52392769431032,6.8730999243538,7.19762003433781
"215",2020-11-01,"PL","Poland","Europe",21897,362731,280,5631,"1",8269,120785,"0","0","0","0","0","0","0","0",6703.57142857143,118095.714285714,7016.2,119117,7231.66666666667,119838.333333333,6.84604876433332,5.67638840165967,5.89017520589001,6.03451872661781
"216",2020-11-02,"PL","Poland","Europe",17171,379902,152,5783,"1",5429,126214,"0","0","0","0","0","0","0","0",6288.14285714286,124383.857142857,6019.2,125136.2,6345,126183.333333333,4.30142456462833,5.05543323835087,4.8101188944526,5.02839783383965
